1girl, 1 девушка
bit_(gundam), бит_(гандам)
balisong, балисонг
cyber_punked_wattson, киберпреступник Ватсон
hiiragi_kae, хиираги_кае
yellow_helmet, желтый шлем
medusa_(rider)_(third_ascension)_(fate), медуза(всадник)_(третье вознесение)_(судьба)
onion_rings, луковые кольца
ore_no_nounai_sentakushi_ga_gakuen_love-comedy_wo_zenryoku_de_jama_shiteiru, о_о_но_наи_сентакуши_га_гакуэн_любовь-комедия_во_сентакуши_де_я_ма_шитейру
heraldry, геральдика
saren_(real)_(princess_connect!), сарен_(настоящая)_(принцесса, подключайся!)
cacturne, кактурн
bat_tail, хвост летучей мыши
mine_(idol)_(blue_archive), мой_(идол)_(синий архив)
paladin_(ragnarok_online), паладин_(рагнарек_онлайн)
puss_in_boots_(shrek), кот в сапогах(Шрек)
aperture_science_handheld_portal_device, aperture_science_handheld_портальное устройство
dang_(runescape), опасность(рунический ландшафт)
tamaki_ako, тамаки_ако
imouto-chan_(monaka_curl), имоуто-тян(монака_курл)
aussa_(yu-gi-oh!), австралийка(ю-ги-о!)
elmerulia_frixell, элмерулия_фрикселл
maribelle_(fire_emblem), марибель(огненная эмблема)
diantha_(granblue_fantasy), дианта(granblue_fantasy)
metallica_(majo_to_hyakkihei), металлик(majo_to_hyakkihei)
koda_michiru, кода_мичиру
self-propelled_artillery, самодвижущийся завод
shinonome_kazune, синономе_казуне
eye_drops, глазные капли
aoki_ruri, аоки_рури
balthier, бальтье
bataan_(azur_lane), батаан(азурская линия)
giselle_gewelle, жизель_гевель
suzuran_(lostlands_flowering)_(arknights), сузуран_(цветущие затерянные земли)_(аркнайты)
criss-cross_strings, нити крест-накрест
squash, раздавить
model_zx_(mega_man), модель_zx_(мегачеловек)
lumera_(fire_emblem), люмера_(огненный узел)
stunfisk, ошеломляющий
honjoji_akira, хондзоджи_акира
themis_legal_academy_school_uniform, фемис_юридическая_академия_школа_единая
midori_(kimi_ga_shine), мидори(кими_га_шайн)
b-komachi_(new), би-комачи(новый)
medusa_gorgon, медуза горгона
jaguar, ягуар
double_bikini, двойное бикини
flay_allster, флэй_алстер
sardine, сардина
asymmetrical_eyewear, асимметричная верхняя одежда
shoulder_devil, плечо_девила
invincible_dragon_(last_origin), непобедимый дракон(последнее имя)
leaf_clothing, листовая одежда
deerling_(spring), олень_(пружинный)
sakuma_rinko, сакума_ринко
i-504_(kancolle), i-504_(канколле)
bugles_(food), стеклярус_(еда)
princess_royale, королевская принцесса
izumi_kouhei, изуми_кухей
caren_hortensia_(amor_caren)_(third_ascension), карен_гортензия_(амор_карен)_(третье вознесение)
kokutenshi_hibaru, кокутенши_хибару
yoshinaga_koi, есинага_кой
ganbaruzoi, ганбарузой
camouflage_tank_top, камуфляжный_танк_топ
azumaya_koyuki, азумая_коюки
pirates_of_the_caribbean, пираты с Карибского моря
tomoe_marguerite, томоэ_маргурит
trieste_(azur_lane), триест(азур-лейн)
halara_nightmare, халара_ночница
aiba_asagi, айба_асаги
sightseer_(pokemon), экскурсант(покемон)
ogata_rizu, огата_ризу
nemesis_(resident_evil), заклятый враг(resident_evil)
sock_on_penis, носок_он_пенис
lapis_lazuli_(steven_universe), лазурит(стивен_вселенная)
wii_u, вий_у
demoman_(tf2), демоман_(tf2)
cut_man, вырезанный человек
blade_runner_2049, бегущий по лезвию_2049
kettle_helm, гиря_хельм
panties_under_swimsuit, трусики под купальник
mini_cu-chan_(fate), мини_ку-тян(судьба)
zilch_alexander, пшик_александр
flower_facial_mark, цветочная метка на лице
kiruko_(tengoku_daimakyou), кируко(тенгоку даймаку)
nishimori_yusa, нисимори_юса
akasaka_mamoru, акасака_мамору
agni_gandiva, агни_гандива
headache, головная боль
inamori_mika, инамори_мика
koga_norio, кога_норио
kori_(trouble_spirit), кори(беспокойный дух)
see-through_babydoll, прозрачная детская сорочка
item_(toaru), предмет_(toaru)
dorothea_arnault_(plegian), доротея Арно(плегианка)
dilation_belt, пояс для растяжения
transform_(pokemon), трансформация(покемон)
mog, мог
tamasaka_makoto, тамасака_макото
seesaw, колебаться
childhood_friend_(liya), подруга детства(Лия)
argyle_sleeves, аргайловые рукава
wing_gundam_zero_custom, wing_gundam_zero_custom крыло гундама
two_(tsu_(lovesick1964)), двое(цу_(влюбленный, 1964))
tea_(cafe-chan_to_break_time), чаепитие(кафе-ресторан до перерыва)
dark_dream, темный сон
irizaki_mei, иризаки_мей
azuma_tokaku, азума_токаку
anubis_(houtengeki), анубис(хоутенгеки)
kakuzu_(naruto), какузу(наруто)
suzuna_(princess_connect!), сузуна(принцесса, подключайся!)
persona_(summon), персонаж(вызов)
tomoe_(qipao)_(blue_archive), томоэ_(ципао)_(синий архив)
proton_(pokemon), proton_(покемон)
elephant_tail, слоновий хвост
silver_nails, серебряные ногти
may_(spring_2021)_(pokemon), май_(весна_2021)_(покемон)
f6f_hellcat, f6f_хеллкат
plave, плав
heart_ornament, украшение сердца
safe_(container), сейф(контейнер)
gauze_on_leg, марлевка на ноге
ass_lift, подтяжка задницы
yone_(league_of_legends), ты(лига из легенд)
banshouya_ena, баньшуйя_ена
sailor_moon_narikiri_bra_set, моряк_луны_нарикири_бра_сет
guillotine_(nikke), гильотина(никке)
the_king_of_fighters_2002, победа_боев_2002
sebek_zigvolt, себек_зигволт
scroll_tube, трубка прокрутки
misono_gakuen_school_uniform, мисоно_гакуен_школа_единая
animal_name, имя животного
mayu_(yuizaki_kazuya), маю(юизаки_казуя)
hippogriff_(fate), гиппогриф(судьба)
scream_(movie), крик(фильм)
mori_calliope_(9th_costume), мори_каллиопа(9-й костюм)
fukuyama_kenta, фукуяма_кента
large_feet, большие ступни
nagant_m1895, наган_м1895
scar_across_eyebrow, шрам_на_брови
drop_kick, выпадающий щелчок
sailor_v, моряк_в
bliss_(image), блаженство_(изображение)
eruption, извержение
holding_veil, удерживающая оболочка
pen_to_mouth, ручка в рот
anthurium, антуриум
on_weapon, на_оружии
biscuit_krueger, бисквитный крекер
counter-strike_(series), встречный удар_(серия)
monarch_butterfly, monarch_butterfly - бабочка-монарх
akabane_karma, акабане_карма
suelle_malen, сьюэлле_мален
kingu_(fate), король(судьба)
ash_blossom_&_joyous_spring, ясень_цветущий и _ радостный_ источник
scotch_(meitantei_conan), шотландский виски(мейтантей конан)
cornflower, василёк
ponto_nei, понто_ней
carol_(skullgirls), кэрол(девушки-черепа)
cookie_cutter, устройство для нарезки печенья
tumblr, тамблер
kasumi_(azur_lane), касуми_(азур_лейн)
jubeat, ликование
youkai_watch_jam:_youkai_gakuen_y, youkai_watch_jam:_youkai_gakuen_y
placemat, салфетка под прибор
lambda_(arknights), лямбда_(аркнайты)
shinada_takumi, синада_такуми
our_battle_has_just_begun!, наша битва только началась!
pov_adoring, pov_ восхищение
nowa_(queen's_blade), нова(клинок королевы)
munou_na_nana, муноу_на_нана
makino_yuna, макино_юна
stomach_(organ), желудок(орган)
fumino_tamaki_(1st_costume), фумино_тамаки(1-й костюм)
totally_spies, тоталлийские шпионы
ricocheting, рикошетирующий
sakuranbou_(cookie), сакуранбоу(печенье)
wavecat_(blue_archive), wavecat_(синий архив)
hisabisa_ni_atta_osananajimi_ga_iroiro_to_seichou_shiteirunoni_nounai_dake_seichou_shiteinakute_douyou_shiteiru, hisabisa_ni_atta_osananajimi_ga_iroiro_to_seichou_shiteirunoni_nounai_dake_seichou_shiteinakute_douyou_shiteiru
dj_octavio, dj_octavio (диджей Октавио)
forced_kiss, принудительный поцелуй
lightning_background, молния на заднем плане
aqua_tank_top, столешница для аквариума
bound_leg, связанная нога
doko_demo_issho, доко_демо_иссхо
fuuto_tantei, фууто_тантей
hajime_no_ippo, хадзиме_но_иппо
sochie_heim, сочи_хайм
cure_etoile, лечение этуалью
mahou_tsukai_to_kuroneko_no_wiz, махоу_цукай_то_куронеко_но_виз
tine_(fire_emblem), зубец_(огненный узел)
chocolate_milk, шоколадно-молочный
hattori_heiji, хаттори хейджи
kiryu_kuro, кирю_куро
sakihata_rimi, сакихата_рими
j._league, джей. лига
orochi_(fire_emblem), орочи_(огненное объединение)
yuuki-chan_(kanabun), юки-тян(канабун)
hagoromo_gitsune, хагоромо гицунэ
quency_(escape_queen)_(nikke), ожидание(escape_queen)_(никке)
charles_babbage_(fate), Чарльз бэббэдж(судьба)
kongou_pose, конгоу_позирует
team_aqua_grunt, команда_аква_грунт
misaka_imouto_10032's_cat, кошка мисака_имоуто_10032
serizawa_fumino, серизава_фумино
with_you, с тобой
futaba_hotaru, футаба_хотару
bathroom_scale, ванная комната в масштабе
orix_buffaloes, орикс_буфалы
chiester556, честер556
grey_wolf, серый волк
kohinata_aoi_(dokidoki_sister_aoi-chan), кохината_аои(докидоки_систер_аои-тян)
saejima_kiyomi, саеджима_киеми
lich_(granblue_fantasy), лич_(granblue_fantasy)
mito_mashiro, мито_маширо
mario_kart_wii, марио_карт_вии
marblehead_(azur_lane), мраморная голова(azur_lane)
takahara_hairi, такахара_хайри
honshou_aru, хонсю_ару
makino_kanna, макино_канна
bloodline, родословная
kitagou_fumika, китагоу_фумика
isshuukan_friends, друзья ишуукана
azusagawa_sakuta, азусагава_сакута
noein, ноэйн
toramaru_shou_(tiger), торамару_шоу_(тигр)
mao_(disgaea), мао_(дисгея)
misaki_(princess_connect!), мисаки(принцесса, подключайся!)
misono_kirika, мисоно_кирика
pink_male_underwear, розовое_маленькое нижнее белье
cyber_v, кибер_в
srw_battle_screen, srw_battle_screen (боевой экран)
nagant_revolver_(mod3)_(girls'_frontline), nagant_revolver_(mod3)_(линия фронта для девочек)
lyza_(made_in_abyss), лиза(made_in_abyss)
yuzuhara_haruka, юзухара_харука
narita_miho, нарита_михо
cure_soleil, исцеление_солей
toriningen, торининген
graphics_card, графическая карточка
nana_(series), нана_(серия)
kaede_to_suzu, каэде_то_сузу
r-type, r-тип
voisona, вуазона
argyle_coat, аргиловое покрытие
sagimori_arata, сагимори_арата
9a-91, 9а-91
hinomoto_oniko, хиномото_онико
ayerscarpe_(arknights), айерскарп(рыцари аркана)
fii-tan, фии-тан
shokatsuryou, шокацури ты
sad_cat_dance_(meme), грустный кошачий танец(мем)
saint_october, святой октябрь
karin_(manga), карин(манга)
suenaga_mirai, суенага_мирай
brera_sterne, брера_стерн
fatina, фатина
riza_wildman, риза_ уайлдман
gourai, гури
laser_rifle, лазерный луч
pk_academy_school_uniform, пк_академия_школа_единая
dunbine, данбайн
large_cross, большой крест
inagi_(kancolle), инаги(канколле)
tearlaments_scheiren, слезы льются рекой
colombia_pose_(meme), колумбия_позиция(мем)
teeth_print, отпечаток зубов
lyre_(fire_emblem), лира(огненная эмблема)
red_dead_redemption_(series), red_dead_redemption(серия)
gilles_de_rais_(saber)_(fate), гиллес_де_райс_(сабля)_(судьба)
metal_hair_tubes, металлические волосяные трубки
red_poncho, красный пончо
sein_(sousou_no_frieren), сейн(сусоу_но_фриерен)
copy_x_(mega_man), копия_х_(мега_человек)
amamiya_natsumi, амамия_нацуми
bloated, раздутый
s4_uniform, s4_униформленный
banana_fish, рыба-банан
seminar_(blue_archive), семинар(синий архив)
edie_crop_hoodie, иди_кроп_хороший
transformers_one, преобразователь_один
rellana_twin_moon_knight, релана_твин_лунный_кнайт
purple_cat, пурпурный кот
tadokoro_megumi, тадокоро_мегуми
ako_(track)_(blue_archive), ako_(трек)_(синий архив)
loose_pants, свободные брюки
elise_(league_of_legends), элизабет(лига легенд)
pokemon_tcg_pocket, pokemon_tcg_покет
multiple_wielding, множественное управление
kero_kero_keroppi, керо_керо_кероппи
nagao_kei, нагао_кей
the_crawling_city, ползучий город
elena_trafalgar, елена_трафалгар
kuroe_mayu, курое_маю
wynaut, вайнаут
broken_leg, сломанная нога
big_sister_(navigavi), большая система_(navigavi)
salmon_(fish), лосось(рыба)
violette_(sound_horizon), виолетта(sound_horizon)
torn_flag, порванный флаг
deel, дил
mankey, мужской ключ
free_hugs, бесплатные поисковики
ice_cream_scoop, ледяной_крем_скуп
princess_(slay_the_princess), принцесса(убей_принцессу)
kalluto_zoldyck, каллуто_золдик
denki_anma, деньки_анма
peony_(fire_emblem), пион(огненный узор)
nougami_neuro, нугами-нейро
web_(cookie), web_(файл cookie)
omoide_no_marnie, омоиде_но_марни
sword_art_online:_hollow_fragment, sword_art_online: следующий фрагмент
libeccio_(kancolle)_(cosplay), либеччо(канколле)(косплей)
legoshi, легоши
unconventional_guitar, нестандартный стиль
finger_writing, почерк пальцами
kofji_(cookie), кофджи(печенье)
impmon, импмон
philippines, Филиппины
shadow_kirby, тень кирби
on_top_of_pole, на вершине столба
no-show_socks, нет-show_socks
cutout_below_navel, вырез_под_носком
nakiri_ayame_(shrine_maiden), накири_аяме(служанка храма)
yostar, йостар
howan_(show_by_rock!!), как ты это делаешь?
succubus_(disgaea), суккуб(дисгея)
grace_(sound_voltex), благодать(sound_voltex)
warioware:_get_it_together!, warioware: давайте будем вместе!
kagamine_rin_(vocaloid4), кагамине_рин_(вокалоид 4)
potato_(pui_pui_molcar), картофель(pui_pui_molcar)
komahime_(fate), комахиме(судьба)
penis_chart, диаграмма пениса
popoi_(seiken_densetsu_2), попой_(сэйкен_денсетсу_2)
kimagure_temptation, кимагуре_темптация
holding_snack, удерживающий крючок
you_jiujiu, ты_джиуцзюю
gloria_(summer_2021)_(pokemon), глория(лето 2021)(покемон)
saegusa_matsuri, саэгуса_матсури
rutee_katrea, рутее_катрея
hercules_(1997_film), геркулес(фильм 1997 года)
chinese_wedding, китайская свадьба
missouri_(warship_girls_r), миссури(девушки с военного корабля)
high_score_girl, девушка с самым высоким баллом
aoandon, аоандон
shiranui_(azur_lane), ширануи(азурская долина)
diablo_3, диабло_3
gertrud_(madoka_magica), гертруда(мадока_магика)
pov_bullying, pov_буллинг
prunce_(precure), обрезка(предварительная обработка)
codename:_kids_next_door, кодовое имя:_kids_next_door
reno_(reno_bunnino)_(azur_lane), рено(reno_bunnino)(азур_лейн)
marco_polo_(azur_lane), марко поло(azur_lane)
tamagokake_gohan, тамагокаке_гохан
morrighan, морриган
intangible, нематериальный
naruse_maria, нарусе_мария
amano_megumi, амано_мегуми
tama_project, тама_проект
inui_sana, инуи_сана
my_melody_(cosplay), моя мелодия_(косплей)
chameleon_girl, девушка-хамелеон
yomi_hellsmile, йоми_хеллсмайл
aquarius_(zodiac), водолей(знак зодиака)
cover_them_up_slut_(meme), обложка_them_up_slut_(мем)
vigna_(casual_vacation)_(arknights), винья_(случайный отдых)_(аркнайты)
fors_wall, для стены
kotobukiya, котобукия
gehrman_sparrow, герман_спэрроу
dustox, дастокс
night_clothes, ночное белье
osakabehime_(swimsuit_archer)_(second_ascension)_(fate), осака бехиме_(купальник_архера)_(второе восхождение)_(судьба)
makinohara_shouko, макинохара_шоуко
denmark_(hetalia), дания(хеталия)
florence_nightingale_(chaldea_lifesavers)_(fate), флоренс_найтингейл(халдейские спасатели)_(судьба)
genmukan, генмукан
brynhildr_romantia, брунгильда_романтия
matatagi_hayato, мататаги_хаято
pixiv_fantasia_1, пиксель_фантазии_1
girl_(mokufuu), девушка(мокуфуу)
smoochum, поцелуйчик
quincy_(warship_girls_r), квинси(девушка-военный корабль)
minecart, тележка для минирования
ajna_(indivisible), аджна(неделимая)
puyopuyo~n, пуйопуйо~н
deep_aqua_mirror, глубокое_аква_зеркало
sandrone_(genshin_impact), сандрон(геншин_импакт)
captain_liliana, капитан Лилиана
hiiragi_miki, хиираги_мики
greece, греция
body_modification, модификация тела
lumiere, люмьер
unicorn_gundam_banshee, единорог_гундам_банши
madobe_nanami, мадобе_нанами
girl's_avenue, девичий путь
fuuchouin_kazuki, фуучоуин_казуки
flanged_mace, фланцевая скоба
origin_alpha, исходный_алфа
gears_of_war, снаряжение для войны
ranunculus, ранункулус
yuuki_makoto_(ensemble_stars!), юки макото(звезды ансамбля!)
chronoa, хроноа
kamen_rider_drive, каменный всадник_драйв
laxus_dreyar, лаксус_дреяр
pause_button, кнопка паузы
koube_shio, кубе_шио
slam_dunk_(basketball), слэм-данк(баскетбол)
sinister, зловещий
daruk, дарук
adjusting_strap, регулировка_страпа
heartless_(kingdom_hearts), бессердечный(королевство сердец)
chest_mouth, грудь - рот
nijigen_project, нижегородец_проект
klee_(genshin_impact)_(cosplay), клее(genshin_impact)(косплей)
cavall_the_2nd, кавалер_2-й
rose_(blackpink), роза(черно-розовая)
cross_patty, кросс_патти
anpanman_(character), анпанман_(персонаж)
pero_(idolmaster_cinderella_girls), перо_(идол-мастер_синдереллы_девочки)
van_gogh_(second_ascension)_(fate), ван_гог_(второе вознесение)_(судьба)
kajiyama_fuuta, каджияма_фуута
spaghetti_and_meatballs, спагетти с фрикадельками
ak-15, ак-15
ultra_galaxy_(series), ультрагалактика(серия)
raiden_mei_(danzai_spectramancer), raiden_mei(танцующий в танце)
full_service_(mazjojo), полное обслуживание(mazjojo)
sigil, символ
bound_feet, связанные ноги
pinocchio_(sinoalice), пиноккио(китайское вино)
union_jack_print, юнион_джек_принт
sugar_lights_(umamusume), сахар_лайтс_(умамусуме)
daan_(fear_&_hunger), даан(страх и жажда)
neopets, неопеты
brest_(azur_lane), брест(азур-лэйн)
amano_megumi_wa_suki_darake!, амано_мегуми_ва_суки_дараке!
cum_on_skirt, сперма на юбке
biscuit_(bread), бисквит_(хлеб)
gingham_dress, имбирное платье
feather-trimmed_coat, пальто с отделкой из перьев
amano_ririsa, амано_ририса
bow_camisole, бант-камзол
cum_on_sheets, сперма на листах
leaning_on_weapon, опирающийся на оружие
chtholly_nota_seniorious, что_толли_не_значит
eriko_(summer)_(princess_connect!), эрико_(саммер)_(принцесса, подключайся!)
vertical-striped_apron, капрон в вертикальную полоску
money_fan, денежный фанат
sardegna_empire_(emblem), сардинская_империя(эмблема)
nao_(kuzuyu), нао_(кузую)
ragequit, равенство в ярости
goggles_around_breasts, изумленные взгляды на округлую грудь
quadcopter, квадрокоптер
kimoi_girls_(meme), кимои_девочки(мем)
nijou_aki, нидзо_аки
fusou_kai_ni_(kancolle), фусоу_кай_ни(канколле)
super_sailor_saturn, супер_сейлор_сатурн
spiked_thigh_strap, шипастый_высокий_страп
lucena_winter, люсена_винтер
tigrex, тигрекс
capricorn_(zodiac), козерог(знак зодиака)
aries_(zodiac), овен(знак зодиака)
open_leotard, открытый_леотард
gogo_tomago, гого_томаго
mori_calliope_(sheriff), мори_каллиопа(шериф)
excalibur_galatine_(fate), экскалибур_галатин_(судьба)
moon_(zelda), луна(зельда)
sukinako_ga_megane_wo_wasureta, сукинако_га_мегане_во_васурете
mie_ai, ми_ай
kyoichi_(live_a_hero), киоичи(живой герой)
stick_grenade, стик_гренад
four_of_hearts, четыре_сердца
takanashi_rei, таканаси_рей
ganmo_(takane_lui), ганмо(такане_луи)
condom_in_hair, кондом_в_волосах
godolphin_barb_(umamusume), годольфин барб(умамусуме)
terrarium, террариум
the_last_of_us, последний раз_ из_ нас
julius_will_kresnik, юлиус_вилл_кресник
pixiv_azriel, пиксель_азриэль
sophie_pulone, софи Пулон
kagari_ayaka, кагари_аяка
laffey_(retrofit)_(azur_lane), лаффи_(модернизация)_(azur_lane)
powder_(arcane), порошок(тайный)
montage, монтаж
inumi, инуми
auruo_bossard, ауруо_боссард
blue_poison_(elite_ii)_(arknights), синий яд(elite_ii)(рыцари аркана)
spartacus_(fate), спартак(судьба)
lace_shirt, кружевная рубашка
ira_(dokidoki!_precure), ира_(докидоки!)
futoshi_(darling_in_the_franxx), футоши(дорогая во Франции)
morgan_le_fay_(chaldea_satellite_station)_(fate), морган_ле_фэй_(халдейская спутниковая станция)_(судьба)
iowa_(pacific), айова(Тихий океан)
bakugan, бакуган
tail_around_waist, хвост_округ_ талии
chikuma_(azur_lane), чикума_(азур_лейн)
riviera, ривьера
http_status_code, http_status_код
yamaha_vino, ямаха_вино
celine_jules, селин_джулес
rinne_berlinetta, ринне_берлинетта
star_block, звездный блок
safeguard_(blame!), защита(виноват!)
overwatch_(logo), overwatch(логотип)
sunny_emmerich, санни Эммерих
re:lief_~shin'ai_naru_anata_e~, автор:lief_~shin'ai_naru_anata_e~
sewing_kit, набор для шитья
seven_of_hearts, семь_сердц_
ayase_ena, аясе_ена
kenkon_no_washi, кенкон_но_ваши
makai_shin_trillion, макай_шин_триллион
sword_kirby, меч_кирби
phalanx_ciws, фаланга_цивов
beautiful_gunbari, прекрасный_гунбари
vandread, вандред
nvidia, технология NVIDIA
shizuru_(summer)_(princess_connect!), шизуру(саммер)(принцесса, подключайся!)
rem_galeu, рем_галеу
prism_ark, призма_арка
okapi_ears, окапи_еарс
kusuriuri-san, кусуриури-сан
dubwool, дубовая вата
nhk_(voiceroid), nhk_(голосовой автоответчик)
yamanbagiri_chougi, яманбагири_чуги
tsugumi_(guilty_crown), цугуми(виноватая корона)
mixed_limbs, смешанные конечности
hikikomori, хикикомори
monogatari_series_puc_puc, моногатари_серии_пук_пук
stratos_4, стратос_4
hina_misora, хина_мисора
vistake, перспектива
saotome_kazuko, саотоме_казуко
old_snake, старая змея
pharos, фарос
purple_haze_(stand), purple_haze_(подставка)
utsumi_shou, уцуми_шоу
the_matrix, матрица
slugcat, слагкат
venalita, веналита
joffre_(azur_lane), Джоффр(азур_лейн)
rainbow_hair_ornament, радужное украшение для волос
xiang_yu_(fate), сянъюй(судьба)
ume_(kancolle), уме_(канколле)
prince_of_wales_(warship_girls_r), принц Уэльский(девушки-корабли_r)
lessar, лессар
elasticity, эластичность
kris_(fire_emblem), крис(огненная эмблема)
fatal_fury:_city_of_the_wolves, смертельная ярость: город волков
anneliese, Аннелиз
vy1, vy1
haruka_(dress)_(blue_archive), харука(платье)(синий архив)
excalibolg, экскалибур
aloupeep_(enna_alouette), прощальный вздох(enna_alouette)
kjerag_logo, кьераг_лого
luetzow_(azur_lane), лютцов(azur_lane)
reset_kalar, сбросить_каляр
hasunoue_keroppi, хасуноуэ_кероппи
vector_the_crocodile, вектор_крокодила
eremite_(faction), отшельник(фракция)
disembodied_tongue, бестелесный язык
bruise_on_leg, синяк на ноге
cinderella_(sinoalice), золушка(синолис)
dark_hunter_(sekaiju), темный охотник(секайджу)
lilpa, лилпа
kamchatka_lily, камчатка_лилия
polka_dot_pants, брюки в горошек
parappa_the_rapper, параппа - ловчий
denial, отказ
philena_ivy, филена_иви
rilakkuma, рилаккума
panda_boy, мальчик-панда
gunbreaker_(final_fantasy), разрушитель оружия(финальная фантазия)
midorikawa_lettuce, салат из мидорикавы
single_eyebrow, одинокая бровь
akasha_terminal, акаша_терминал
wrist_wings, запястья-крылья
seel, видеть
vichya_dominion_(emblem), вишья_доминия(эмблема)
nohara_rin, ногара_рин
jk-chan_(oouso), Джей Кей-чан(оооо)
breathing_tube, дыхательная трубка
glacia_(pokemon), гласия_(покемон)
chili_(pokemon), чили(покемон)
etou_misaki_(idolmaster), этоу_мисаки(повелитель богов)
kushida_kikyou, кушида_кикью
asanagi_(style), асанаги(стиль)
mega_man_x1, мега_ман_х1
gemini_(zodiac), близнецы(знак зодиака)
eileen_the_crow, эйлин_кроу
incoming_letter, входящее письмо
morinaga_(brand), morinaga_(бренд)
tobi_(naruto), тоби(наруто)
kokkoro_(ceremonial)_(princess_connect!), коккоро_(церемониальный)_(принцесса, подключайся!)
hinabita, хинабита
izayoi_sounosuke, изаей_суносуке
tanizaki_yukari, танизаки_юкари
choi_mochimazzui, чой_мочимаззи
shouting_with_hands, кричащий_ руками
john_wick, джон_вик
mathilda_lando, матильда_ландо
open_drawer, открыть_драйвер
unworn_male_underwear, неношеное нижнее белье
biting_arm, кусающая рука
ning_hai_(warship_girls_r), нингхай(девушки-военные корабли)
alternate_uniform, альтернативный_униформный
photo_shoot, фотосессия
leprechaun_(last_origin), лепрекон(последнее имя)
minmatar_republic_(eve_online), минматар_республики(каждый день_онлайн)
baphomet_(monster_girl_encyclopedia), бафомет(энциклопедия девушек-монстров)
matsuda_takato, мацуда_такато
zonai, зонаи
mouthful_mode, режим "полный рот"
blue_leg_warmers, синие леггинсы-грелки
nipple_flick, щелчок сосков
puui_(grandia), пууи(грандия)
bulge_peek, выпуклость_пик
guzheng, гучжэн
roynase_(msa_(fary_white)), ройнас(мса_(фэри_белый))
yune_(ikoku_meiro_no_croisee), юне(икоку_мейро_но_круази)
stuffed_reindeer, фаршированный рейндер
n'doul, н'доул
nergigante, энергичный
subaru_(houkago_no_pleiades), субару(хоукаго_но_плеиады)
yuba_no_shirushi, юба_но_шируши
sumeragi_shion, сумераги_шион
gamma_2, гамма_2
run_elsie_jewelria, запуск_elsie_jewelria
malos_(xenoblade), малос(ксенобладение)
galarian_moltres, галариан_молтрес
ichigo_(mignon), ичиго(миньон)
escape_room, комната побега
hand_on_own_hat, вручаю_в_а_ном_ , что
mina_tepes, мина_тепес
yuzuki_yukari_(onn), юзуки_юкари_(онн)
stretcher, носилки
kodama_izayoi, кодама_изайои
sora_no_kanata_no_dystopia_x_shitei, сора_но_каната_но_истопия_х_шитей
green_bandeau, зеленый бандо
nishigoori_yuuko, нисигури_юуко
information_sheet, информационный лист
majin_vegeta, маджин_вегета
kiri_(sub-res), кири_(подрезка)
serena_(sygna_suit)_(pokemon), серена(sygna_suit)_(покемон)
mexican_flag, мексиканский флаг
paladin_2_(sekaiju), паладин_2_(секайджу)
bowgun, арбалет
marie_antoinette_(swimsuit_caster)_(third_ascension)_(fate), мари_антонетт_(обладательница купальника)_(третье восхождение)_(судьба)
ookami_game_(studio_wasabi), ооками_игра(studio_wasabi)
torn_footwear, порванная обувь
ump9_(shiba_investigator)_(girls'_frontline), ump9_(shiba_investigator)_(девичья линия фронта)
sejuani, седжуани
toriko_(series), торико_(серия)
calico_cat, calico_cat (калико-кот)
sakuragi_mai, сакураги_май
takanashi_hikari, таканаси_хикари
ga_rune_pose, га_руни_позиция
ooba_juri, ооба_юри
anita_king, анита кинг
ibis_douglas, ибис_дуглас
meracle_chamlotte, меракле_шамлотт
sella_(fate), селла_(судьба)
suomi_(korvatunturi_pixie)_(girls'_frontline), суоми_(корватунтури_пикси)_(линия фронта для девочек)
blue_delmo, синий дельмо
skywarp, Скайворп
super_tama_musume, супер_тама_музей
jaw, челюсть
kalina_(girls'_frontline)_(cosplay), калина(девичья линия фронта)(косплей)
gakuen_basara, гакуен_басара
kamen_rider_gotchard, каменный всадник_гочард
pet_cone, домашний любимец_конус
yato_(fire_emblem), ято_(огненный узел)
unown_a, неизвестный_а
militaria_(nikke), военные(никке)
horseback_archery, верховая езда - иерархия
carmelina_(granblue_fantasy), кармелина(granblue_fantasy)
cuphead, головка чашки
aislinn_wishart, эйслинн_вишарт
sugita_tomokazu, сугита_томоказу
chupacabra, чупакабра
speed_limit_sign, знак ограничения скорости_
gundam_alex, гандам_алекс
mari_(dream_c_club), мари(клуб мечты)
asobi_asobase, asobi_азобаза
lune_zoldark, лунно-золотистый
bokurano, бокурано
sakai_yuuji, сакай_юдзи
yamiyono_moruru, ямиено_моруру
kagenui_yozuru, кагенуй_йозуру
jindai_komaki, джиндай_комаки
maruchan_akai_kitsune_udon, маручан_акай_кицуне_удон
erina_makina, эрина_макина
mario_strikers_(series), марио_страйкерс_(серия)
sumizome_nozomi, сумизоме_нозоми
frilled_bowtie, галстук-бабочка с оборками
stanchion, опора
clawed_boots, когтистые ботинки
grenade_pin_in_mouth, гренадный наконечник во рту
.52_gal_(splatoon), .52_gal_(сплатун)
charlotte_(seiken_densetsu_3), шарлотта(seiken_densetsu_3)
encanto, энканто
repulse_(azur_lane), отражение(azur_lane)
ayatsuno_yuni, аяцуно_юни
marie_antoinette_alter_(third_ascension)_(fate), мария_антонетта_альтер_(третье вознесение)_(судьба)
giant_pangolin_(kemono_friends), гигантский ящер(kemono_friends)
iwanaga_kotoko, иванага_котоко
larva, личинка
zangetsu_(shikai), зангэцу(шикай)
